username,post_text,shared_text,timestamp
פרוגרסיביות במבחן,"התחדשנו בכללים לקבוצה!
לא יודע אם אנשים יודעים, אבל עד היום הקבוצה פעלה ללא חוקים באופן רישמי.
זה עבד יפה עד כה והדיונים כאן תמיד פורים ומעניינים, אבל עם התפתחות הקבוצה וכניסה של יותר ויותר אנשים חדשים Tali… עוד Orlov ואנוכי החלטנו להעלות על הכתב את הכללים שהשתמשנו בהם כדי לנהל את הקבוצה עד כה כדי שכולם ידעו מה מותר ומה אסור.
אם אתם כאן כבר כמה זמן, כנראה שלא יהיה בכללים האלה שום דבר שיפתיע אותכם.
הכללים:
1. אנחנו עוסקים בנושאים שמעוררים הרבה אמוציות. על מנת לשמור על הדיונים אפקטיביים, נסו להקפיד להתבטא לגופו של עניין ולא לגופו של אדם
2. אם צירפתם קישור לתוכן ארוך קחו בחשבון שלרוב האנשים יהיה קשה להתחייב לקריאה/צפיה שלו לכן כדאי לרשום כמה שורות על בגוף הפוסט שמסבירות מה התוכן (אמ;לק), או מה הנקודה שרציתם להעביר
3. דאגו שהתוכן שאתה מפרסמים קשור לתכני הדיון של הקבוצה
4. זו אינה קבוצת שיטפוסטים, ספאם, טרולינג, וכד’. צחוקים זה בסדר, אבל כבדו את משתתפי הדיון
5. נא להימנע מגילויי גזענות או גינוי דת כלפי אנשים וקבוצות
6. אין בקבוצה מקום לעידוד לאלימות (ככלל, לא רק כלפי מיעוטים)","None",24/12/2022
Tali Orlov,"#טרנדינג_בטוויטר
השם של ג׳אז ג׳נינגס עלה שוב לדף הטרנדינג לאחר שהעלה 2 סרטונים לערוץ היוטיוב שלו בו הוא מגיב למס׳ יוצרי תוכן שמרנים (מאט וולש, בן שפירו, לורן צ׳ן) אשר הגיבו לקליפים מהסדרה שלו (העיקרי בינהם הואעוד קליפ של שיחה ״אינטימית״ בינו לבין עמו בה הוא אומר שהוא ״לא מרגיש כמו עצמו אף פעם״).
את הסרטון הוא כמובן לא עשה לבד, אלא בליווי אח שלו ובליווי עוד גבר שמזדהה כאישה טרנסג׳נדרית בשם שיה דיימנד.

בטוויטר אנשים רבים בעד ונגד מגדר, טרנס ושאר הנושאים הרלוונטיים בסוגיה בעיקר מסכימים שנעשה לג׳אז עוול גדול ע״י משפחתו בכלל ואמו בפרט.

אותם יוצרי תוכן הגיבו בחזרה לתגובות עליהם, ומעניין לעקוב אחריי השתלשלות האירועים.

קישורים:
ג׳אז ג׳נינגס -
חלק 1: https://youtu.be/jnhQ0CrJ1Xs
חלק 2: https://youtu.be/5g41a9cI20M

תגובות:
בן שפירו - https://youtu.be/NkndL3k14iM
מאט וולש - https://twitter.com/mattwalshblog/status/1651401988481884161?s=46","YOUTUBE.COM
Ben Shapiro Reacts to Jazz Jennings Reacting to Ben Shapiro",27/04/2023
Michael Shaw,"לא מאמין, אשכרה הצלחתי לגרום לאחד מארגוני הנאצים האנטישמים לחסום אותי 🤣🤣

הקרן לישראל חדשה עשו פוסט ממומן שעלה לי לפיד, הגבתי להם שלא, אנחנו לא טוענים שהם רוצים לשנות את המדינה, אלא פועלים באופן אקטיבי להשמיד אותה, ועכשיו אני מגלה שהם חסמו אותי.

טוב נו, אני לא מופתע שהנאצים חטפו טריגר","",27/04/2023
Tsahor Mizrachi,"אני שמנה וטוב לי","",27/04/2023
Tali Orlov,"יום האם מתקרב (14/5/2023) ותפיסה מצוינת של אריזונה אינפורמר (AZInformer@ בטוויטר) מתעדת (ומגיבים נוספים מצטרפים) כיצד מס׳ חברות מנסות לשכנע צרכנים לוותר על יום האם.
במילים והודעות באתרים חברות כמו נספרסו, אטסי,עוד מאק, ליוייס ועוד הוצא ״לוותר״ על מיילים ליום האם שכן למרות שזהו יום חג הוא עשוי להזכיר לחלק מהאנשים בעיות קשר, בעיות פוריות, אבל ועוד.

למה כ״כ הרבה חברות ועסקים מתאחדים פתאום תחת המסר של ״למנוע מצרכנים אולי להרגיש טיפה עצובים בגלל הודעות ספאם שלנו שמילא הולכות לתיקיית ספאם במייל״?","",27/04/2023
Tal Croitoru,"קוראת על ברנש עם טענות מגדר בתפקיד ציבורי שמנסה לקדם הגנה על פדופילים במינסוטה. זה מספיק גרוע. מגלה בסוף הכתבה שהוא זכה ב״אשת השנה״ לפני כמה שבועות על ידי USA today","REDUXX.INFO
Transgender State Representative Moves To Allow "Sexual Attachment To Children" To Be Classified As Protected "Sexual Orientation" - Reduxx",27/04/2023
Angie Uniair,"בעקבות הדיונים האחרונים אחלוק קצת ממקורות מהימנים יותר. לדוגמא רופאים, מקושר סרטון בנושא שהובא מידי מנתח פלסטי.
מציעה לכולם לפתוח בתוך המחקרים את הנתונים עצמם. תמיד יש קישור כלשהו למקור והתייחסות מניין נובע. תבדקו את כל הזויות 🤟🏼","YOUTUBE.COM
What Studies Say About Transgender, Gender Dysphoria, and Gender Affirming Care",26/04/2023
Yarden Zlatin,"","None",27/04/2023
Tomer Israeli,"חדשות מעולם הספורט.","",22/04/2023
Tali Orlov,"מעגל שמאכיל את עצמו, הנרטיב סביב ילדים טרנס.

תרגום: עד הילדים, טוויטר
מקור: ד״ר ג׳רמי שו, טוויטר (בתגובות)","",27/04/2023
Tal Croitoru,"בקרוב בחנויות","",24/04/2023
Tal Croitoru,"הגיע הזמן שיותר אנשים עם השפעה וכסף יתעמקו בפער בין מה שמוכרים לציבור לבין העובדות, ויפעלו בהתאם","",25/04/2023
Tal Croitoru,"מיפוי של התהליך שעושים לקטינים באידיאולוגית המגדר-","TWITTER.COM
Jeremy Shaw, MD on Twitter",27/04/2023
David Gabriel Gutman,"היום, בפרק חדש של בואו ננרמל להיות חולה נפש וסוטה לחלוטין.

","EURO.ESEURO.COM
She had two children with her brother and now they are not allowed to marry",27/04/2023
דון אבן,"https://www.bbc.com/news/uk-scotland-edinburgh-east-fife-65405563?at_medium=RSS&at_campaign=KARANGA

זאת השתקה על ידי המון זועם.","BBC.COM
Trans film screening cancelled again at University of Edinburgh",27/04/2023
Yovel Graidy,"תמימות מול מניפולציה","",25/04/2023
Tali Orlov,"נער בן 18 נפטר ב-2016 כתוצאה מניתוח Vaginoplasty מסוג Bowel (בוצע עקב מחסור ברקמות פין שנגרם עקב חסימת הורמונים של הנער מגיל מאוד צעיר ע״י ה״חוקרים״ ההולנדים) בו בוצע שימוש בחלק מרקמות המעי.
מותו של הנער נקבעעוד עקב Necrotizing Fasciitis (חיידק טורף) תועד במחקר אך מחוסה בהמון fluff סביב כמה שהפרוצדורה ״טובה״.
מחקירה של מותו, סברו שחיידק ה-e.Coli שנמצא במעיים *של כולנו* ככל הנראה גרם ל-NF.

המקרה סוקר ב:
The Pist Millennial, Daily Wire, Genspec, Sportskeeda, Louder With Crowder, Lipstick Alley, Turning Point USA
ועוד כל מיני אתרים שהם אחד או שניים מהקטגוריות הבאות: ימין או לא מוכר לציבור במיוחד.

ידע הציבור ויזהר.

כתבה: https://thepostmillennial.com/trans-teen-died-from-vaginoplasty-complications-during-landmark-dutch-study-used-to-justify-child-sex-changes

נתונים סטטיסטיים רלוונטים: https://statsforgender.org/vaginoplasty-can-result-in-stenosis-10-20-prolapse-up-to-10-and-even-death/","THEPOSTMILLENNIAL.COM
Trans teen died from vaginoplasty complications during landmark Dutch study used to justify child sex changes",27/04/2023
Tomer Israeli,"ולשאלתכם: כן זה קשור לקבוצה וכולנו יודעים למה.","BOUNDINGINTOCOMICS.COM
'Hogwarts Legacy' Reportedly Sold 256% Over Target For Warner Bros. Games",26/04/2023
David Gabriel Gutman,"האמונות הטפלות של המאה ה-21 מסוכנות, במיוחד עבור הקטנים.","Abdul-Latif Ahmed
‏24 באפריל‏ ב-‏10:07‏ ·

Ⓐⓦⓐⓚⓔ Ⓖ🇬🇭Ⓗ Ⓨⓞⓤⓣⓗ: AGE PLAY- the next trend to be added to the LGBTQI+ alphabet 👶🏻

Adult men identifying as babies.

Guess is in order!!! 😂 😂 😂

Because, don't you call your partner baby? Is she/he not a grown person? Yes, she/he is. 😂 😂 😂

#babyright",26/04/2023
Jevil Kris,"","‏‎Click It News‎‏
‏18 באפריל‏ ב-‏16:00‏ ·",25/04/2023
Michael Shaw,"שמישהו יסביר לי בבקשה את ההבדל בין הפרוגרסיב הממוצע וchatgpt","‏‎ZUBY‎‏
אתמול ב-‏16:44‏ · Instagram ·

A year ago today... 😂",26/04/2023
